# Data source: SEC EDGAR (data.sec.gov)
# Screener Parameters:
# Revenue >= 0.0
# NetIncome >= 0.0
# EPS >= 0.0
# Debt/Assets <= 0.8

Ticker,Company,CIK,ReportDate,Revenue,NetIncome,NetMargin%,RevenueYoY%,Assets,Liabilities,Equity,Debt/Assets%,EPS,SharesOut
TEX,Terex Corporation,0000097216,2024-12-31,5127000000,335000000,6.53,-0.48,5730000000,3898000000,932300000.0,68.03,5.0,65600000.0
SNA,Snap-on Inc,0000091440,2024-12-28,5108400000,1043900000,20.43,0.0,7896800000,2479800000,5394100000.0,31.4,19.85,52007557.0
AMCR,AMCOR PLC,0001748790,2025-06-30,5082000000,511000000,10.06,56.8,37066000000,25326000000,11728000000.0,68.33,0.32,2308359941.0
SNPS,"SYNOPSYS, INC.",0000883241,2025-10-31,5081542000,1332220000,26.22,20.87,48224461000,19897446000,28327602000.0,41.26,8.13,191318206.0
DOX,AMDOCS LIMITED,0001062579,2024-09-30,5004989000,493197000,9.85,301.94,6386142000,2886965000,3456976000.0,45.21,4.27,112890564.0
OPCH,"OPTION CARE HEALTH, INC.",0001014739,2024-12-31,4998202000,211823000,4.24,16.17,3421743000,2017505000,1404238000.0,58.96,1.23,158732706.0
VAC,Marriott Vacations Worldwide Corp,0001524358,2024-12-31,4967000000,218000000,4.39,5.08,9808000000,7367000000,2442000000.0,75.11,6.16,34613991.0
TOST,"Toast, Inc.",0001650164,2024-12-31,4960000000,19000000,0.38,28.33,2408000000,863000000,1545000000.0,35.84,0.03,0.0
VTR,"Ventas, Inc.",0000740260,2024-12-31,4924266000,246167000,5.0,9.48,26186906000,15047081000,10771267000.0,57.46,0.2,469732824.0
EDU,NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC.,0001372920,2025-05-31,4900262000,371716000,7.59,13.6,7805499000,3851767000,3661873000.0,49.35,0.86,1580288613.0
SIGIP,"SELECTIVE INSURANCE GROUP, INC",0000230557,2024-12-31,4861664000,207012000,4.26,14.88,13514189000,10394113000,3120076000.0,76.91,3.25,60409116.0
SIGI,"SELECTIVE INSURANCE GROUP, INC",0000230557,2024-12-31,4861664000,207012000,4.26,14.88,13514189000,10394113000,3120076000.0,76.91,3.25,60409116.0
BRO,"BROWN & BROWN, INC.",0000079282,2024-12-31,4805000000,993000000,20.67,12.87,17612000000,3863400000,5578800000.0,21.94,3.48,341420790.0
CIEN,Ciena Corp,0000936395,2025-11-01,4769507000,123338000,2.59,18.79,5864667000,3135344000,2729323000.0,53.46,0.87,140854735.0
